Entity,iso3,Year,Deaths
Seychelles,SYC,2019,100.533455
Sierra Leone,SLE,2019,62.574253
Singapore,SGP,2019,37.17477
Slovakia,SVK,2019,88.82746
Slovenia,SVN,2019,68.85174
Solomon Islands,SLB,2019,328.7783
Somalia,SOM,2019,77.21544
South Africa,ZAF,2019,75.37751
South Asia (WB),,2019,100.52887
South Korea,KOR,2019,59.385567
South Sudan,SSD,2019,55.162056
South-East Asia Region (WHO),,2019,100.8099
Spain,ESP,2019,67.55731
Sri Lanka,LKA,2019,46.13525
Sub-Saharan Africa (WB),,2019,51.686256
Sudan,SDN,2019,91.951225
Suriname,SUR,2019,75.183876
Sweden,SWE,2019,59.60445
Switzerland,CHE,2019,54.917892
Syria,SYR,2019,115.46034
Taiwan,TWN,2019,66.55419
Tajikistan,TJK,2019,102.559685
Tanzania,TZA,2019,77.475174
Thailand,THA,2019,62.661076
Togo,TGO,2019,66.49648
Tokelau,TKL,2019,111.21629
Tonga,TON,2019,128.97896
Trinidad and Tobago,TTO,2019,55.062992
Tunisia,TUN,2019,90.56578
Turkey,TUR,2019,99.19634
Turkmenistan,TKM,2019,98.939125
Tuvalu,TUV,2019,165.92346
Uganda,UGA,2019,48.250618
Ukraine,UKR,2019,152.16606
United Arab Emirates,ARE,2019,95.00651
United Kingdom,GBR,2019,90.22582
United States,USA,2019,92.48668
United States Virgin Islands,VIR,2019,58.128727
Uruguay,URY,2019,91.58433
Uzbekistan,UZB,2019,109.82809
Vanuatu,VUT,2019,147.66583
Venezuela,VEN,2019,58.88356
Vietnam,VNM,2019,109.89056
Wales,,2019,97.482414
Western Pacific Region (WHO),,2019,111.74192
World,OWID_WRL,2019,95.60785
Yemen,YEM,2019,137.2956
Zambia,ZMB,2019,78.31611
Zimbabwe,ZWE,2019,134.159
