Entity,iso3,Year,Death Share
Saint Vincent and the Grenadines,VCT,2019,1.3776257
Samoa,WSM,2019,4.8355803
San Marino,SMR,2019,1.1458477
Sao Tome and Principe,STP,2019,0.59921354
Saudi Arabia,SAU,2019,3.0962968
Scotland,,2019,1.5188297
Senegal,SEN,2019,2.0347128
Serbia,SRB,2019,2.7845705
Seychelles,SYC,2019,2.3998916
Sierra Leone,SLE,2019,1.5409621
Singapore,SGP,2019,1.2356701
Slovakia,SVK,2019,2.2934942
Slovenia,SVN,2019,1.6820014
Solomon Islands,SLB,2019,4.3990383
Somalia,SOM,2019,0.91650885
South Africa,ZAF,2019,1.5774274
South Asia (WB),,2019,2.6047294
South Korea,KOR,2019,1.2343185
South Sudan,SSD,2019,0.9141142
South-East Asia Region (WHO),,2019,2.6700246
Spain,ESP,2019,1.4052871
Sri Lanka,LKA,2019,2.1498027
Sub-Saharan Africa (WB),,2019,1.0035399
Sudan,SDN,2019,2.6053019
Suriname,SUR,2019,2.0994115
Sweden,SWE,2019,0.8574372
Switzerland,CHE,2019,1.0338348
Syria,SYR,2019,3.1206303
Taiwan,TWN,2019,2.6144001
Tajikistan,TJK,2019,2.5661855
Tanzania,TZA,2019,1.1507094
Thailand,THA,2019,1.8163655
Togo,TGO,2019,1.1083283
Tokelau,TKL,2019,4.6685886
Tonga,TON,2019,4.099613
Trinidad and Tobago,TTO,2019,2.281845
Tunisia,TUN,2019,3.3728778
Turkey,TUR,2019,3.109199
Turkmenistan,TKM,2019,4.343279
Tuvalu,TUV,2019,4.4280834
Uganda,UGA,2019,0.6844496
Ukraine,UKR,2019,2.184797
United Arab Emirates,ARE,2019,3.9565444
United Kingdom,GBR,2019,1.3789725
United States,USA,2019,1.2176341
United States Virgin Islands,VIR,2019,1.3934014
Uruguay,URY,2019,2.2795324
Uzbekistan,UZB,2019,2.7186527
Vanuatu,VUT,2019,2.7611525
Venezuela,VEN,2019,1.980115
Vietnam,VNM,2019,3.047775
Wales,,2019,1.4816418
Western Pacific Region (WHO),,2019,3.33131
World,OWID_WRL,2019,2.251409
Yemen,YEM,2019,3.1683598
Zambia,ZMB,2019,0.9422306
Zimbabwe,ZWE,2019,1.4499066
