iso3,five,fourteen,fortynine,sixtynine,seventy
,,,9.3072605,198.59128,975.5046
MNP,,,27.840523,303.81284,921.08826
NOR,0,0,4.6272383,126.727585,474.32053
,0,0,9.466419,187.19005,717.3357
OMN,,,4.2582397,105.12127,527.89594
PAK,0,0,15.941847,314.11157,1143.564
PLW,,,55.829918,389.84134,905.17334
PSE,,,8.453326,241.52791,874.3372
PAN,,,2.8636837,56.674507,303.02448
PNG,,,26.127861,411.09723,1202.2867
PRY,,,7.595797,175.41412,846.5214
PER,,,2.0822923,28.921137,141.69969
PHL,0,0,22.923153,317.71338,1049.2119
POL,0,0,15.548337,367.99896,869.01996
PRT,,,11.8223715,152.33253,423.47534
PRI,,,5.6626987,95.242004,361.94058
QAT,,,4.228799,82.232254,638.2504
,0,0,8.379941,181.98955,715.9065
ROU,,,30.02457,375.18457,704.6453
RUS,0,0,39.258358,420.74017,779.2201
RWA,,,6.983595,187.93082,1009.76135
KNA,,,5.0265803,112.753265,312.2682
LCA,,,8.262088,126.47499,415.5545
VCT,,,8.651717,123.70629,367.95004
WSM,,,31.046394,425.3199,1281.7327
SMR,,,8.420098,144.01465,640.92615
STP,,,3.523127,117.44212,380.46094
SAU,,,14.57737,172.60344,429.62943
,,,13.817028,264.7946,1283.6777
SEN,,,6.488641,118.30694,301.02075
SRB,,,22.062208,490.10556,1208.5208
SYC,,,20.941212,235.20222,860.6446
SLE,,,9.442239,180.44833,427.98056
SGP,,,4.1386566,79.56678,377.8255
SVK,,,15.742699,284.08945,684.7274
SVN,,,10.25599,208.75966,583.92554
SLB,,,82.60981,924.683,2061.8335
SOM,,,16.475203,225.38895,486.5961
ZAF,0,0,14.488961,206.50314,556.67487
,0,0,11.74229,220.82959,894.33673
KOR,,,7.4424577,103.57961,644.4141
SSD,,,6.810489,121.88124,470.91205
,0,0,12.7266035,223.68289,897.2139
ESP,,,11.594155,179.3406,641.27985
LKA,,,6.0099316,107.102394,410.58908
,0,0,7.4563007,131.26062,396.139
SDN,,,11.602573,229.43095,727.03174
SUR,,,14.764572,220.48318,530.2171
SWE,0,0,3.615689,120.387405,691.9846
CHE,,,5.2107925,119.55995,609.61084
SYR,,,19.358475,291.83652,854.02704
TWN,,,16.018179,165.40913,613.6264
TJK,,,11.639215,250.484,859.0035
TZA,,,10.462329,187.48361,627.09973
THA,,,14.089091,131.20801,602.325
TGO,,,8.398513,180.64735,491.71368
TKL,,,26.06905,322.22055,828.99884
TON,,,17.774683,294.6525,1184.367
TTO,,,10.759803,170.97752,394.25247
TUN,,,12.7138815,204.61374,842.67096
TUR,,,13.366165,262.47937,843.09424
TKM,,,27.282825,318.66287,554.7654
TUV,,,42.123436,472.923,1086.7261
UGA,,,5.456461,113.72627,390.45682
UKR,0,0,54.07964,515.2815,894.7063
ARE,,,21.751415,182.83894,662.09247
GBR,0,0,9.347654,187.90448,987.1012
USA,0,0,10.878193,232.74782,895.84766
VIR,,,8.239858,173.14198,460.91327
URY,,,13.609846,285.94135,701.3376
UZB,,,17.162638,311.56885,781.6904
VUT,,,36.235615,359.74945,1067.6335
VEN,,,9.310437,152.37158,500.24118
VNM,,,16.273626,277.3885,940.4969
,,,11.033026,215.58322,1027.3477
,0,0,16.160404,222.90636,1130.7249
OWID_WRL,0,0,13.138197,221.74365,888.25934
YEM,,,17.907707,370.246,1027.2268
ZMB,,,8.864533,163.11707,695.7319
ZWE,,,21.526064,347.99338,1011.3889
