id,country,gram_per_capita,cigarettes_per_day,daily_smokers_percentage
1,Australia,647,..,..
2,Costa Rica,200.4,10.3,10
3,Czechia,2367,12.1,21.1
4,Denmark,1113,..,..
5,Finland,734,..,..
6,France,905,13,25.4
7,Germany,1507,..,..
8,Greece,1070.1,..,..
9,Hungary,1521,..,..
10,Iceland,..,..,8.6
11,Ireland,539.4,13,17
12,Israel,769,..,..
13,Japan,1171,14.9,17.8
14,Korea,1606,13.2,17.5
15,New Zealand,586,10,13.3
16,Norway,793,11.7,12
17,Poland,..,..,..
18,Spain,1469.8,..,..
19,Switzerland,1271,..,..
20,Türkiye,1178.2,..,..
21,United Kingdom,446,10,16.6
22,United States,1061,13.9,10.3
