id,country,gram_per_capita,cigarettes_per_day,daily_smokers_percentage
1,Australia,..,..,..
2,Costa Rica,127.7,(E) 7.2,6.9
3,Czechia,..,10.9,..
4,Denmark,..,..,..
5,Finland,..,..,..
6,France,..,..,..
7,Germany,..,..,..
8,Greece,..,..,..
9,Hungary,..,..,..
10,Iceland,..,..,6.2
11,Ireland,631.1,13,14
12,Israel,779,..,..
13,Japan,..,..,..
14,Korea,..,13,..
15,New Zealand,9.6,..,..
16,Norway,988,10.8,7
17,Poland,..,..,..
18,Spain,1519.9,..,..
19,Switzerland,..,..,..
20,Türkiye,..,..,..
21,United Kingdom,..,..,..
22,United States,..,14,..
