id,country,gram_per_capita,cigarettes_per_day,daily_smokers_percentage
1,Australia,915.8,13.7,13
2,Costa Rica,309.4,10.2,12.3
3,Czechia,2238,10.9,22.2
4,Denmark,1553,..,17
5,Finland,1286,13.3,15.8
6,France,1120.1,..,..
7,Germany,1634,..,20.9
8,Greece,1444.1,..,..
9,Hungary,1636,..,..
10,Iceland,1051.2,..,11.4
11,Ireland,1016.2,..,..
12,Israel,943,18.1,16.2
13,Japan,1776,..,19.3
14,Korea,2054,14.6,19.9
15,New Zealand,769,11.2,15.8
16,Norway,923,12.9,15
17,Poland,..,..,..
18,Spain,1577.8,..,..
19,Switzerland,1570,..,..
20,Türkiye,1041.7,..,..
21,United Kingdom,804.8,10,19.2
22,United States,1277,14.2,13.7
