id,country,gram_per_capita,cigarettes_per_day,daily_smokers_percentage
1,Australia,756.1,13.4,12.4
2,Costa Rica,226.6,10.211,11
3,Czechia,2350,12.4,19.6
4,Denmark,1272,..,..
5,Finland,663,..,15
6,France,1022,..,29.4
7,Germany,1524,..,..
8,Greece,1170.9,..,..
9,Hungary,1521,..,..
10,Iceland,980.8,..,10.9
11,Ireland,866.1,12,19
12,Israel,827.9,17.2,19.6
13,Japan,1517,..,18.3
14,Korea,1720,14.6,18.4
15,New Zealand,669,10.2,14.5
16,Norway,926,11.3,12
17,Poland,..,..,..
18,Spain,1533.5,10.7,..
19,Switzerland,1352,..,..
20,Türkiye,1077.8,17.3,26.5
21,United Kingdom,643.9,10,16.1
22,United States,1167,14.1,11.8
